tconst,titleType,primaryTitle,genres,Sinopsis,emocion,tmdb_id,imagen,plataformas,link,inPeru
tt0082971,movie,Raiders of the Lost Ark,"[28, 12]","When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",anger,85.0,https://image.tmdb.org/t/p/w500/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,"['Disney Plus', 'Amazon Prime Video', 'Paramount Plus', 'Claro video', 'Paramount Plus Apple TV Channel ']",https://www.themoviedb.org/movie/85-raiders-of-the-lost-ark/watch?locale=PE,True
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,"[28, 12, 14]","Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",sadness,1892.0,https://image.tmdb.org/t/p/w500/jQYlydvHm3kUix1f8prMucrplhm.jpg,['Disney Plus'],https://www.themoviedb.org/movie/1892-return-of-the-jedi/watch?locale=PE,True
tt0086231,movie,Sagara Sangamam,"[18, 10402, -1]",A young multi-talented dancer is poverty stricken and as a principled person he does not want to compromise on his ethics for commercial dancing. A wealthy woman recognizes this talent and provides him with an opportunity to showcase his art.,joy,30153.0,https://image.tmdb.org/t/p/w500/hdg47CcaBfLf0DttUoav45boYtL.jpg,['Sun Nxt'],https://www.themoviedb.org/movie/30153/watch?locale=PE,True
tt0086250,movie,Scarface,"[80, 18]","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",anger,111.0,https://image.tmdb.org/t/p/w500/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,"['Netflix', 'Claro video']",https://www.themoviedb.org/movie/111-scarface/watch?locale=PE,True
tt0087544,movie,Nausicaä of the Valley of the Wind,"[12, 16, -1]","After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",joy,81.0,https://image.tmdb.org/t/p/w500/tcrkfB8SRPQCgwI88hQScua6nxh.jpg,['Netflix'],https://www.themoviedb.org/movie/81/watch?locale=PE,True
tt0087843,movie,Once Upon a Time in America,"[80, 18]","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",sadness,311.0,https://image.tmdb.org/t/p/w500/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,"['Amazon Prime Video', 'Star Plus', 'HBO Max', 'MUBI']",https://www.themoviedb.org/movie/311-once-upon-a-time-in-america/watch?locale=PE,True
tt0087884,movie,"Paris, Texas",[18],"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",fear,655.0,https://image.tmdb.org/t/p/w500/7G6ea5djDvCxfqfoMAX8479T4UB.jpg,['Amazon Prime Video'],https://www.themoviedb.org/movie/655-paris-texas/watch?locale=PE,True
tt0088247,movie,The Terminator,"[28, -1]","In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",fear,218.0,https://image.tmdb.org/t/p/w500/hzXSE66v6KthZ8nPoLZmsi2G05j.jpg,['Amazon Prime Video'],https://www.themoviedb.org/movie/218-the-terminator/watch?locale=PE,True
tt0088763,movie,Back to the Future,"[12, 35, -1]","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",anger,105.0,https://image.tmdb.org/t/p/w500/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,"['Amazon Prime Video', 'Star Plus', 'HBO Max', 'Claro video']",https://www.themoviedb.org/movie/105-back-to-the-future/watch?locale=PE,True
tt0089108,movie,Waiting for the Hearse,[35],"Mama Cora, who is almost eighty years old, has three sons and a daughter. She lives with one of them, who has serious financial problems. The family meets one day to celebrate an anniversary meal, and that is when the problem arises: which of them will take care of her?",anger,13651.0,https://image.tmdb.org/t/p/w500/qkSThbNiC6kimvLlWrgeTNYLCeq.jpg,"['HBO Max', 'YouTube']",https://www.themoviedb.org/movie/13651-esperando-la-carroza/watch?locale=PE,True
tt0090109,movie,Swathi Muthyam,"[18, 10751, 10749]","After an autistic man impulsively marries a young widow, she must move to the city and ensure the welfare of her new family, against the glare of societal judgement and financial struggle.",sadness,30344.0,https://image.tmdb.org/t/p/w500/zKttX0OwhykfLLbGORybggWDQAh.jpg,['Sun Nxt'],https://www.themoviedb.org/movie/30344/watch?locale=PE,True
tt0090605,movie,Aliens,"[28, 12, -1]","When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story—all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",fear,679.0,https://image.tmdb.org/t/p/w500/r1x5JGpyqZU8PYhbs4UcrO1Xb6x.jpg,['Star Plus'],https://www.themoviedb.org/movie/679-aliens/watch?locale=PE,True
tt0091763,movie,Platoon,"[18, 10752]","As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",sadness,792.0,https://image.tmdb.org/t/p/w500/m3mmFkPQKvPZq5exmh0bDuXlD9T.jpg,['Amazon Prime Video'],https://www.themoviedb.org/movie/792-platoon/watch?locale=PE,True
tt0092005,movie,Stand by Me,"[12, 35, 18]","Gordie, Chris, Teddy and Vern are four friends who decide to hike to find the corpse of Ray Brower, a local teenager, who was hit by a train while plucking blueberries in the wild.",fear,235.0,https://image.tmdb.org/t/p/w500/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,"['Netflix', 'Paramount Plus Apple TV Channel ']",https://www.themoviedb.org/movie/235-stand-by-me/watch?locale=PE,True
tt0092067,movie,Castle in the Sky,"[12, 16, 10751]",A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,fear,10515.0,https://image.tmdb.org/t/p/w500/41XxSsJc5OrulP0m7TrrUeO2hoz.jpg,['Netflix'],https://www.themoviedb.org/movie/10515/watch?locale=PE,True
tt0093058,movie,Full Metal Jacket,"[18, 10752]",A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,anger,600.0,https://image.tmdb.org/t/p/w500/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg,['HBO Max'],https://www.themoviedb.org/movie/600-full-metal-jacket/watch?locale=PE,True
tt0093342,movie,Where Is the Friend's House?,"[18, 10751]","An 8 year old boy must return his friend's notebook he took by mistake, lest his friend be punished by expulsion from school.",anger,49964.0,https://image.tmdb.org/t/p/w500/aU9WdjwfKTiBsiIh9Vgjr4onhnD.jpg,['MUBI'],https://www.themoviedb.org/movie/49964/watch?locale=PE,True
tt0093779,movie,The Princess Bride,"[12, 35, 10751]","In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",anger,2493.0,https://image.tmdb.org/t/p/w500/dvjqlp2sAhUeFjUOfQDgqwpphHj.jpg,"['Amazon Prime Video', 'Lionsgate Plus']",https://www.themoviedb.org/movie/2493-the-princess-bride/watch?locale=PE,True
tt0094625,movie,Akira,"[28, 16, 18]",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,anger,149.0,https://image.tmdb.org/t/p/w500/neZ0ykEsPqxamsX6o5QNUFILQrz.jpg,['Netflix'],https://www.themoviedb.org/movie/149-akira/watch?locale=PE,True
tt0095016,movie,Die Hard,"[28, 53]","NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",anger,562.0,https://image.tmdb.org/t/p/w500/yFihWxQcmqcaBR31QM6Y8gT6aYV.jpg,['Star Plus'],https://www.themoviedb.org/movie/562-die-hard/watch?locale=PE,True
tt0095953,movie,Rain Man,[18],"When car dealer Charlie Babbitt learns that his estranged father has died, he returns home to Cincinnati, where he discovers that he has a savant older brother named Raymond and that his father's $3 million fortune is being left to the mental institution in which Raymond lives. Motivated by his father's money, Charlie checks Raymond out of the facility in order to return with him to Los Angeles. The brothers' cross-country trip ends up changing both their lives.",anger,380.0,https://image.tmdb.org/t/p/w500/iTNHwO896WKkaoPtpMMS74d8VNi.jpg,['Amazon Prime Video'],https://www.themoviedb.org/movie/380-rain-man/watch?locale=PE,True
