tconst,titleType,primaryTitle,genres,emocion
tt0082020,movie,The Animals Film,[99],anger
tt0082087,movie,Der Bockerer,"[18, 36]",anger
tt0082096,movie,Das Boot,"[18, 10752]",fear
tt0082112,movie,Bukit Kepong,"[28, 18, 36]",anger
tt0082317,movie,They Don't Wear Black Tie,[18],anger
tt0082728,movie,Mera spored mera,[18],joy
tt0082755,movie,Teddy Bear,[35],anger
tt0082919,movie,Les Plouffe,[18],sadness
tt0082971,movie,Raiders of the Lost Ark,"[28, 12]",anger
tt0083275,movie,Variola Vera,"[18, 36, 27]",sadness
tt0083652,movie,Bill Cosby: Himself,"[35, 99]",anger
tt0083658,movie,Blade Runner,"[28, 18, -1]",sadness
tt0083922,movie,Fanny and Alexander,[18],joy
tt0083946,movie,Fitzcarraldo,"[12, 18]",joy
tt0083987,movie,Gandhi,"[-1, 18, 36]",anger
tt0084076,movie,Heaven and Earth,[99],anger
tt0084302,movie,The Marathon Family,"[35, 18]",sadness
tt0084304,movie,Death of Yazdgerd,"[18, 36]",fear
tt0084503,movie,Pink Floyd: The Wall,"[18, 14, 10402]",sadness
tt0084548,movie,Interrogation,"[80, 18, 53]",anger
tt0084561,movie,Il quartetto Basileus,[18],sadness
tt0084780,movie,A Tight Spot,[35],anger
tt0084787,movie,The Thing,"[27, 9648, -1]",fear
tt0084894,movie,The Weavers: Wasn't That a Time,"[99, 10402]",joy
tt0084934,movie,The Road,[18],anger
tt0085137,movie,Adaminte Variyellu,[18],anger
tt0085178,movie,Ardh Satya,"[80, 18]",anger
tt0085218,movie,Barefoot Gen,"[16, -1, 18]",anger
tt0085610,movie,The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War,[99],anger
tt0085743,movie,Jaane Bhi Do Yaaro,"[35, 80, 18]",anger
tt0085809,movie,Koyaanisqatsi,"[99, 10402]",joy
tt0085913,movie,Masoom,"[18, 10751]",surprise
tt0086120,movie,Pleasure Beach,[-1],anger
tt0086182,movie,Rembetiko,"[-1, 18, 10402]",anger
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,"[28, 12, 14]",sadness
tt0086230,movie,Sadma,"[18, 10749]",fear
tt0086231,movie,Sagara Sangamam,"[18, 10402, -1]",joy
tt0086250,movie,Scarface,"[80, 18]",anger
tt0086358,movie,State buoni se potete,"[35, 18, 36]",anger
tt0086466,movie,La tragédie de Carmen,"[18, -1]",anger
tt0086879,movie,Amadeus,"[-1, 18, 10402]",anger
tt0086935,movie,Balkan Spy,"[35, 18]",fear
tt0087123,movie,Strangler vs. Strangler,"[35, 80, 27]",sadness
tt0087301,movie,Hibiscus Town,"[18, 36, 10749]",anger
tt0087349,movie,"Blue Mountains, or Unbelievable Story","[35, 18]",anger
tt0087488,movie,"István, a király","[18, 36, 10402]",joy
tt0087544,movie,Nausicaä of the Valley of the Wind,"[12, 16, -1]",joy
tt0087731,movie,Give the Devil His Due,"[12, 35, 10751]",anger
tt0087843,movie,Once Upon a Time in America,"[80, 18]",sadness
tt0087884,movie,"Paris, Texas",[18],fear
