tconst,titleType,primaryTitle,genres,Sinopsis
tt0082020,movie,The Animals Film,[99],The film offers a comprehensive examination of the exploitation of animals in modern society.
tt0082087,movie,Der Bockerer,"[18, 36]",A politically naive Viennese butcher (Bockerer) manages to survive the Nazi occupation of Austria and the second world war.
tt0082096,movie,Das Boot,"[18, 10752]","A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits."
tt0082112,movie,Bukit Kepong,"[28, 18, 36]","The dramatisation of a Communist Terrorist assault on a rural Federation of Malaya Police station at Bukit Kepong, Muar, Johor, of then Malaya, on February 23, 1950, during the height of the First Malayan Emergency, 1948-1960."
tt0082317,movie,They Don't Wear Black Tie,[18],"Otavio is an idealistic union leader trying to organize workers at a factory to resist the company's exploitative practices. His son, Tião, one of the employees, is more of a realist and doesn't want to risk losing his job by striking. This clash of perspectives puts the father and son at odds. Fortunately, Tião's mother, Romana, is on hand to act as a moderator between the two opinionated men."
tt0082728,movie,Mera spored mera,[18],"Early 20th century. This is an era of seething passions, aspirations for freedom and national self-identification. Uprising are incited, blood is shed. The picture features national leaders who become heroes as early as in their lifetime. The protagonist is rank-and-file Macedonian who is unwittingly swept by the events. Later, it was his conscious choice. He was a witness of changes, crucial for the nation. He comes across legendary personalities. He gets enchanted and disappointed. He is seeking for the right answers, rethinks what he saw and experienced to tell his story in his simple, but candid and wise words of his own."
tt0082755,movie,Teddy Bear,[35],"En route to London, Bear discovers at the border checkpoint that his passport is missing a few pages, which may prevent him from traveling to the city with the sports team he manages."
tt0082919,movie,Les Plouffe,[18],The lives of the average Quebecois Plouffe family during the final years of the depression and through World War II.
tt0082971,movie,Raiders of the Lost Ark,"[28, 12]","When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."
tt0083275,movie,Variola Vera,"[18, 36, 27]","An Albanian pilgrim, infected with an unknown disease, is on his way back to Belgrade from the Middle East. When doctors realize that it is a disease that has been considered eradicated, it is already too late - variola vera begins to languish and the hospital is quarantined."
tt0083652,movie,Bill Cosby: Himself,"[35, 99]","A 1983 stand-up comedy film featuring the comedy of Bill Cosby. Filmed before a live audience at the Hamilton Place Theatre, in Hamilton, Ontario. Cosby gives his comedic views on people who drink too much and take drugs, going to the dentist, marriage and parenthood."
tt0083658,movie,Blade Runner,"[28, 18, -1]","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans."
tt0083922,movie,Fanny and Alexander,[18],"As children in the loving Ekdahl family, Fanny and Alexander enjoy a happy life with their parents, who run a theater company. After their father dies unexpectedly, however, the siblings end up in a joyless home when their mother, Emilie, marries a stern bishop. The bleak situation gradually grows worse as the bishop becomes more controlling, but dedicated relatives make a valiant attempt to aid Emilie, Fanny and Alexander."
tt0083946,movie,Fitzcarraldo,"[12, 18]","Fitzcarraldo is a dreamer who plans to build an opera house in Iquitos, in the Peruvian Amazon, so, in order to finance his project, he embarks on an epic adventure to collect rubber, a very profitable product, in a remote and unexplored region of the rainforest."
tt0083987,movie,Gandhi,"[-1, 18, 36]","In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed."
tt0084076,movie,Heaven and Earth,[99],"Michael Pilz's 285-minute Himmel and Erde is an essay film or an ethnographic documentary. It contemplates the finite lot of individuals as part of a continuum of human experience in the natural world.  Himmel und Erde, translatable as Heaven and Earth, was recorded between 1979 and 1982. The documentary invites the viewer to contemplate the disruptive effects of technology on economic and social ties through circumscribed vignettes of village life which are oft repeated either as recycled footage or variations on a theme."
tt0084302,movie,The Marathon Family,"[35, 18]","The Topalović family has been in the burial business for generations. When the 150-year-old Pantelija dies, five generations of his heirs start to fight for the inheritance."
tt0084304,movie,Death of Yazdgerd,"[18, 36]","Bahram Beizai's poetic imagining of the circumstances that led to the death of Yazdgerd III, the last of the Sassanid kings of Iran. His death in 651, during the Arab invasions that brought Islam to this Zoroastrian realm, was mysterious: his corpse was discovered in a mill, but the cause of his death—and the whereabouts of his remains—are unknown."
tt0084503,movie,Pink Floyd: The Wall,"[18, 14, 10402]",A troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
tt0084548,movie,Interrogation,"[80, 18, 53]","In Stalinist Poland, cabaret singer Tonia decides to spend the evening drinking with a group of friends. The next morning, she awakes to find that, for reasons unknown to her, she has been jailed as a political prisoner. As prison officials interrogate, torture and humiliate her, she fights for survival and to maintain her innocence by refusing to sign a false confession. As her years of imprisonment pass, her relationship with her captors grows more complicated."
tt0084561,movie,Il quartetto Basileus,[18],"The lives of the surviving members of the Basileus Quartet, a chamber group that has been playing successfully around the world for more than 30 years, are turned upside down after the death of the leader, Oscar Guarneri. The three aging musicians decide to split up to pursue those pleasures they've denied themselves too long."
tt0084780,movie,A Tight Spot,[35],"At 56 years of age Mita Pantić (Nikola Simić) is still only a junior clerk in his company. Another typical workday for him is starting at 6 a.m. as frustration awaits at every turn from the moment he gets up. Trying to get ready to go to work, he can barely get a turn to use the bathroom in the crowded apartment. Other members of the household are not without their frustrations either, meaning that nagging and shouting are a staple of their home life at any time of day."
tt0084787,movie,The Thing,"[27, 9648, -1]","A team of American scientists investigate the empty, destroyed base of their Norwegian counterparts in Antarctica, only to discover a terrifying life force that can take the form of its prey."
tt0084894,movie,The Weavers: Wasn't That a Time,"[99, 10402]","Documentary about the blacklisted folk group, ""The Weavers,"" and the events leading up to their triumphant return to Carnegie Hall."
tt0084934,movie,The Road,[18],"When five Kurdish prisoners are granted one week's home leave, they find to their dismay that they face continued oppression outside of prison from their families, the culture, and the government."
tt0085137,movie,Adaminte Variyellu,[18],The film portrays a realistic take on the issues of women in society through the lens of 3 protagonists. Vasanthi has to mother three generations of her family in addition to her daytime job. Alice is married to a ruthless businessman and seeks solace in affairs. Ammini is an orphan who works as a maid and is sexually abused by her master.
tt0085178,movie,Ardh Satya,"[80, 18]","A newly appointed police rookie deals with corruption, romance, and brutality."
tt0085218,movie,Barefoot Gen,"[16, -1, 18]",A story about the effect of the atomic bombing of Hiroshima on a boy's life and the lives of the Japanese people.
tt0085610,movie,The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War,[99],"This documentary examines the experiences of the Abraham Lincoln Brigade, using interviews with survivors more than 50 years later. First, the film sets the context with the rise of Fascism. Then, in 1936, Spain's military revolts against the elected government, and the U.S. and Europe agree not to intervene. In response, volunteers snuck past border guards into Spain to fight with the Republicans. The men and women veterans describe the perils of reaching Spain, limited training, responsibilities of command thrust on the very young, deprivations of a soldier's life, lack of matériel, horrible rates of casualties, and ultimate vindication at the end of World War II."
tt0085743,movie,Jaane Bhi Do Yaaro,"[35, 80, 18]","Two zanies open a photography studio. They score a partnership with a gossip magazine that suddenly thrusts them into a world of corruption, murder, and hijinks."
tt0085809,movie,Koyaanisqatsi,"[99, 10402]",Takes us to locations all around the US and shows us the heavy toll that modern technology is having on humans and the earth. The visual tone poem contains neither dialogue nor a vocalized narration: its tone is set by the juxtaposition of images and the exceptional music by Philip Glass.
tt0085913,movie,Masoom,"[18, 10751]","D.K. Malhotra lives a comfortable lifestyle with his wife, Indu, and two school-going daughters, Pinky and Minni. He works in the office of an Architect. One day while the family is relaxing, D.K. gets a phone call that results in him bringing home a young school-going boy by the name of Rahul. Indu is shocked to learn that Rahul is D.K.'s son from another woman, Bhavana, who is no more. D.K. does his best to make Rahul comfortable, but fails. Rahul also feels that Indu does not really like him, though Pinky and Minni have taken to him in a big way. Finally, D.K. decides to admit Rahul in a boarding school in far off Nainital. Rahul reluctantly goes along with this new-found uncle/friend. It is when Rahul is asked to put his papers together for school that Rahul finds out that D.K. is his biological father. Watch what happens when Rahul disappears from D.K.'s house, and the impact this has on D.K., Indu, and her two daughters."
tt0086120,movie,Pleasure Beach,[-1],"Pleasure Beach is the story of two lifeguards, one gay, one straight. Their friendship is platonic, though Todd, the gay one, wishes it were not."
tt0086182,movie,Rembetiko,"[-1, 18, 10402]","The story of a group of Rembetes, singers and musicians of the Greek equivalent to the blues, in the early decades of the 20th century, seen through the eyes of a young female singer."
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,"[28, 12, 14]","Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star."
tt0086230,movie,Sadma,"[18, 10749]","A head injury causes a woman to regresses to childhood. Lost and confused, she is eventually befriended by a school teacher. A remake of the 1982 film Moondram Pirai by the same team."
tt0086231,movie,Sagara Sangamam,"[18, 10402, -1]",A young multi-talented dancer is poverty stricken and as a principled person he does not want to compromise on his ethics for commercial dancing. A wealthy woman recognizes this talent and provides him with an opportunity to showcase his art.
